r,f(r),b(r),bp(r),H(r),Hp(r),w(r),col9,col10,col11
1.3873,0.1516,0.1791,0.5799,0.8799,0.4241,0.2273,0.3423,0.0819,-0.0115
1.3992,0.1584,0.186,0.5796,0.8849,0.4077,0.2211,0.3067,0.0784,-0.0384
1.4117,0.1656,0.1932,0.5789,0.8899,0.3911,0.2148,0.2723,0.0746,-0.0647
1.4242,0.1729,0.2004,0.5779,0.8946,0.3751,0.2087,0.2407,0.0709,-0.0892
1.4373,0.1805,0.208,0.5766,0.8994,0.3589,0.2026,0.2104,0.0669,-0.1131
1.4503,0.1881,0.2155,0.575,0.904,0.3432,0.1967,0.1828,0.063,-0.1354
1.4641,0.1962,0.2234,0.573,0.9086,0.3274,0.1907,0.1563,0.059,-0.157
1.4778,0.2042,0.2312,0.5707,0.913,0.3123,0.1849,0.1323,0.0551,-0.1771
1.4922,0.2127,0.2394,0.568,0.9174,0.297,0.1791,0.1096,0.051,-0.1965
1.5066,0.2212,0.2476,0.565,0.9216,0.2823,0.1735,0.0891,0.0471,-0.2144
1.5217,0.23,0.2561,0.5617,0.9258,0.2676,0.1679,0.0698,0.0431,-0.2317
1.5369,0.2389,0.2646,0.558,0.9297,0.2536,0.1625,0.0526,0.0393,-0.2475
1.5528,0.2482,0.2735,0.554,0.9336,0.2395,0.157,0.0365,0.0355,-0.2627
1.5688,0.2575,0.2823,0.5497,0.9373,0.2262,0.1517,0.0223,0.0319,-0.2765
1.5856,0.2672,0.2915,0.5449,0.941,0.2129,0.1464,0.0092228,0.0283,-0.2896
1.6024,0.2769,0.3006,0.5399,0.9445,0.2003,0.1413,-0.0022101,0.0249,-0.3013
1.6201,0.287,0.3101,0.5345,0.9479,0.1878,0.1361,-0.0126,0.0216,-0.3124
1.6378,0.297,0.3195,0.5289,0.9512,0.176,0.1312,-0.0216,0.0184,-0.3221
1.6566,0.3075,0.3294,0.5227,0.9543,0.1643,0.1262,-0.0296,0.0154,-0.3312
1.6753,0.3179,0.3391,0.5165,0.9573,0.1534,0.1215,-0.0363,0.0126,-0.339
1.695,0.3287,0.3492,0.5097,0.9602,0.1426,0.1167,-0.0422,0.0099382,-0.346
1.7148,0.3394,0.3592,0.5028,0.963,0.1326,0.1121,-0.047,0.0074965,-0.3519
1.7357,0.3506,0.3697,0.4954,0.9656,0.1227,0.1075,-0.051,0.0051695,-0.357
1.7566,0.3616,0.3799,0.4879,0.9681,0.1136,0.1032,-0.0541,0.0030861,-0.361
